label,superclass_taxo_20,superclass_morpho_23,superclass_taxo_30,superclass_ecotaxa_20,count,lineage
Hyperiidea,Eumalacostraca,fusiform_opaque_no-appendages,Amphipoda,Foraminifera,68,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Malacostraca>Eumalacostraca>Amphipoda>Hyperiidea
Limacinidae,Mollusca,triangle_opaque_appendages,Mollusca,Foraminifera,42,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Mollusca>Gastropoda>Heterobranchia>Euthyneura>Euopisthobranchia>Thecosomata>Limacinidae
Medusettidae,Rhizaria,sphere_transparent_appendages,Phaeodaria,Rhizaria,31,living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeogromida>Medusettidae
Narcomedusae,non_siphonophoran_hydrozoa,sphere_transparent_appendages,non_siphonophoran_hydrozoa,otherliving,75,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Cnidaria>Hydrozoa>Trachylinae>Narcomedusae
Ostracoda,Ostracoda,fusiform_semi-opaque_appendages,Ostracoda,otherliving,539,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Oligostraca>Ostracoda
Periphylla periphylla,non siphonophorae cnidaria,triangle_semi-opaque_appendages,Scyphozoa,otherliving,19,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Cnidaria>Scyphozoa>Coronatae>Periphyllidae>Periphylla>Periphylla periphylla
Phyllodocida,Annelida,fusiform_opaque_no-appendages,Annelida,otherliving,116,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Annelida>Polychaeta>Errantia>Phyllodocidae
Poeobius,Annelida,fusiform_transparent_no-appendages,Annelida,otherliving,34,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Annelida>Polychaeta>Sedentaria>Canalipalpata>Terebellida>Poeobius
Rhizaria,Rhizaria,sphere_semi-opaque_no-appendages,Rhizaria,Rhizaria,1982,living>Eukaryota>Harosa>Rhizaria
Salpida,non appendicularia tunicata,fusiform_transparent_no-appendages,Salpida,Salpida,207,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Tunicata>Thaliacea>Salpida
